CommonName,species,Order,Family,Time,,,,
Eastern Phoebe,Sayornis_phoebe,Passeriformes,Tyrannidae,diurnal,,,,
Louisiana Waterthrush,Parkesia_motacilla,Passeriformes,Parulidae,,,,,
Savannah Sparrow,Passerculus_sandwichensis,Passeriformes,Emberizidae,,,,,
Tree Swallow,Tachycineta_bicolor       ,Passeriformes,Hirundinidae,diurnal,,,,
Song Sparrow,Melospiza_melodia,Passeriformes,Emberizidae,,,,,
Seaside Sparrow,Ammodramus_savannarum,Passeriformes,Emberizidae,,,,,
Least Sandpiper,Calidris_minutilla,Charadriiformes,Scolopacidae,,,,,
Hooded Oriole,Icterus_cucullatus,Passeriformes,Icteridae,,,,,
White-throated Sparrow,Zonotrichia_albicollis,Passeriformes,Emberizidae,,,,,
Yellow-breasted Chat,Icteria_virens,Passeriformes,Parulidae,nocturnal,,,,
Vesper Sparrow,Pooecetes_gramineus,Passeriformes,Emberizidae,,,,,
Dickcissel,Spiza_americana,Passeriformes,Cardinalidae,,,,,
Cliff Swallow,Petrochelidon_pyrrhonota  ,Passeriformes,Hirundinidae,diurnal,,,,
Blue Grosbeak,Passerina_caerulea,Passeriformes,Emberizidae,,,,,
Semipalmated Sandpiper,Calidris_pusilla,Charadriiformes,Scolopacidae,,,,,
Western Sandpiper,Calidris_mauri,Charadriiformes,Scolopacidae,,,,,
Lapland Longspur,Calcarius_lapponicus,Passeriformes,Emberizidae,,night,,,
White-crowned Sparrow,Zonotrichia_leucophrys,Passeriformes,Emberizidae,,,,,
Ash-throated Flycatcher,Myiarchus_cinerascens,Passeriformes,Tyrannidae,,,,,
Scarlet Tanager,Piranga_olivacea,Passeriformes,Cardinalidae,nocturnal,,,,
Lark Sparrow,Chondestes_grammacus,Passeriformes,Emberizidae,,,,,
Summer Tanager,Piranga_rubra,Passeriformes,Cardinalidae,nocturnal,,,,
Hermit Thrush,Catharus_guttatus,Passeriformes,Turdidae,,,,,
Swainson's Thrush,Catharus_ustulatus,Passeriformes,Turdidae,,,,,
Bobolink,Dolichonyx_oryzivorus,Passeriformes,Icteridae,nocturnal,,,,
Cedar Waxwing,Bombycilla_cedrorum,Passeriformes,Bombycillidae,,,,,
Gray-cheeked Thrush,Catharus_minimus,Passeriformes,Turdidae,,,,,
Veery,Catharus_fuscescens,Passeriformes,Turdidae,nocturnal,,,,
Olive-sided Flycatcher,Contopus_cooperi,Passeriformes,Tyrannidae,,,,,
Great Crested Flycatcher,Myiarchus_crinitus,Passeriformes,Tyrannidae,nocturnal,,,,
Baltimore Oriole,Icterus_galbula,Passeriformes,Icteridae,nocturnal,,,,
Fox Sparrow,Passerella_iliaca,Passeriformes,Emberizidae,,,,,
Gray Catbird,Dumetella_carolinensis,Passeriformes,Mimidae,nocturnal,,,,
Harris's Sparrow,Zonotrichia_querula,Passeriformes,Emberizidae,,,,,
Bullock's Oriole,Icterus_bullockii,Passeriformes,Icteridae,,night,,,
Scissor-tailed Flycatcher,Tyrannus_forficatus,Passeriformes,Tyrannidae,,,,,
Western Kingbird,Tyrannus_verticalis,Passeriformes,Tyrannidae,,night,,,
Eastern Kingbird,Tyrannus_tyrannus,Passeriformes,Tyrannidae,diurnal,,,,
Baird's Sandpiper,Calidris_bairdii,Charadriiformes,Scolopacidae,,,,,
Rose-breasted Grosbeak,Pheucticus_ludovicianus,Passeriformes,Cardinalidae,nocturnal,,,,
Eastern Towhee,Pipilo_erythrophthalmus   ,Passeriformes,Passerellidae,nocturnal,night,,,
Wood Thrush,Hylocichla_mustelina,Passeriformes,Turdidae,,,,,
Yellow-bellied Sapsucker,Sphyrapicus_varius,Piciformes,Picidae,nocturnal,,,,
Black-billed Cuckoo,Coccyzus_erythropthalmus,Cuculiformes,Cuculidae,,night,,,
Dunlin,Calidris_alpina,Charadriiformes,Scolopacidae,,night,,,
Eastern Whip-poor-will,Antrostomus_vociferus,Caprimulgiformes,Caprimulgidae,,,,,
Wilson's Phalarope,Steganopus_tricolor,Charadriiformes,Scolopacidae,,,,,
Yellow-billed Cuckoo,Coccyzus_americanus,Cuculiformes,Cuculidae,nocturnal,,,,
Brown Thrasher,Toxostoma_rufum,Passeriformes,Mimidae,,,,,
Red-headed Woodpecker,Melanerpes_erythrocephalus,Piciformes,Picidae,,,,,
Long-billed Dowitcher,Limnodromus_scolopaceus,Charadriiformes,Scolopacidae,,,,,
Chuck-will s-widow,Antrostomus_carolinensis,Caprimulgiformes,Caprimulgidae,,,,,
Northern Flicker,Colaptes_auratus,Piciformes,Picidae,,both,,,
Red Knot,Calidris_canutus,Charadriiformes,Scolopacidae,,,,,
American Golden-Plover,Pluvialis_dominica,Charadriiformes,Charadriidae,,,,,
Upland Sandpiper,Bartramia_longicauda,Charadriiformes,Scolopacidae,,,,,
Greater Yellowlegs,Tringa_melanoleuca,Charadriiformes,Scolopacidae,,,,,
American Woodcock,Scolopax_minor,Charadriiformes,Scolopacidae,,,,,
Willet,Tringa_semipalmata,Charadriiformes,Scolopacidae,,,,,
Black-bellied Plover,Pluvialis_squatarola,Charadriiformes,Charadriidae,,,,,
Hudsonian Godwit,Limosa_haemastica,Charadriiformes,Scolopacidae,,,,,
American Avocet,Recurvirostra_americana,Charadriiformes,Recurvirostridae,,,,,
Green-winged Teal,Anas_crecca,Anseriformes,Anatidae,,,,,
Marbled Godwit,Limosa_fedoa,Charadriiformes,Scolopacidae,,,,,
Blue-winged Teal,Spatula_discors,Anseriformes,Anatidae,,,,,
Cinnamon Teal,Spatula_cyanoptera,Anseriformes,Anatidae,,,,,
Bufflehead,Bucephala_albeola,Anseriformes,Anatidae,,,,,
Long-billed Curlew,Numenius_americanus,Charadriiformes,Scolopacidae,,,,,
Ruddy Duck,Oxyura_jamaicensis,Anseriformes,Anatidae,,night,,,
Northern Shoveler,Spatula_clypeata,Anseriformes,Anatidae,,,,,
Ring-necked Duck,Aythya_collaris,Anseriformes,Anatidae,,,,,
American Wigeon,Mareca_americana,Anseriformes,Anatidae,,,https://doi.org/10.1371/journal.pone.0129340,,
Lesser Scaup,Aythya_affinis,Anseriformes,Anatidae,,,,,
Northern Pintail,Anas_acuta,Anseriformes,Anatidae,,,https://doi.org/10.3389/fevo.2019.00380,,
Canvasback,Aythya_valisineria,Anseriformes,Anatidae,,,"https://birdsoftheworld-org.ezaccess.libraries.psu.edu/bow/historic/bna/rthhum/2.0/introduction, https://doi-org.ezaccess.libraries.psu.edu/10.1642/AUK-15-160.1",,
Ross's Goose,Anser_rossii,Anseriformes,Anatidae,,,from map :(,,
Greater White-fronted Goose,Anser_albifrons,Anseriformes,Anatidae,,,https://doi.org/10.1016/j.cub.2021.04.019,,
,,,,,,,,
,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14540,,
