CommonName,species,Order,Family,Body_mass_g,Radar ,Distance_m,Time,,,,,
Black-throated Blue Warbler,Setophaga_caerulescens,Passeriformes,Parulidae,10.14,5.05,2870.16,nocturnal,,,,47,
Yellow Warbler,Setophaga_petechia,Passeriformes,Parulidae,10.22,5.08,4526.24,nocturnal,,,,6,
Palm Warbler,Setophaga_palmarum,Passeriformes,Parulidae,10.3,5.11,3184.52,,,,,21,
Hooded Warbler,Setophaga_citrina,Passeriformes,Parulidae,10.54,5.19,2002.12,nocturnal,,,,33,
Marsh Wren,Cistothorus_palustris,Passeriformes,Troglodytidae,10.8,5.28,1269.38,,,,,27,
House Wren,Troglodytes_aedon,Passeriformes,Troglodytidae,10.85,5.3,1230.33,nocturnal,,,,53,
Black-and-white Warbler,Mniotilta_varia,Passeriformes,Parulidae,10.9,5.32,3287.12,nocturnal,,,,41,
Clay-colored Sparrow,Spizella_pallida,Passeriformes,Emberizidae,11.2,5.42,2973.18,,,,,50,
White-eyed Vireo,Vireo_griseus,Passeriformes,Vireonidae,11.4,5.49,1070.06,nocturnal,,,,51,
Philadelphia Vireo,Vireo_philadelphicus,Passeriformes,Vireonidae,11.5,5.52,4134.46,,,,,35,
Mourning Warbler,Geothlypis_philadelphia,Passeriformes,Parulidae,11.74,5.6,4763.49,nocturnal,,,,4,
Pine Warbler,Setophaga_pinus,Passeriformes,Parulidae,11.79,5.62,769.2,nocturnal,,,,14,
Yellow-bellied Flycatcher,Empidonax_flaviventris,Passeriformes,Tyrannidae,11.8,5.62,4062.96,,,,,10,
Bay-breasted Warbler,Setophaga_castanea,Passeriformes,Parulidae,11.8,5.62,4508.74,,,,,49,
Blackpoll Warbler,Setophaga_striata,Passeriformes,Parulidae,11.84,5.63,7024.93,nocturnal,,,,15,
Yellow-rumped Warbler,Setophaga_coronata,Passeriformes,Parulidae,11.94,5.67,2954.13,,,,,38,
Chipping Sparrow,Spizella_passerina,Passeriformes,Emberizidae,12.2,5.75,1883.36,nocturnal,,,,56,
Field Sparrow,Spizella_pusilla,Passeriformes,Emberizidae,12.5,5.85,507.09,,,,,3,
Acadian Flycatcher,Empidonax_virescens,Passeriformes,Tyrannidae,12.6,5.88,3513.48,nocturnal,,,,2,
Warbling Vireo,Vireo_gilvus,Passeriformes,Vireonidae,12.67,5.91,2762.18,nocturnal,,,,8,
Alder Flycatcher,Empidonax_alnorum,Passeriformes,Tyrannidae,12.7,5.92,7187.98,nocturnal,,,,25,
Henslow's Sparrow,Centronyx_henslowii,Passeriformes,Emberizidae,12.8,5.95,1087,,,,,20,
