Species,Common name,Diet,Flyway,S
Icterus_cucullatus,Hooded Oriole,Omnivore,w,1
Icterus_galbula,Baltimore Oriole,Insectivore,e,1
Icterus_parisorum,Scott's Oriole,Insectivore,w,1
Icterus_spurius,Orchard Oriole,Omnivore,e,1
Ictinia_mississippiensis,Mississippi Kite,Insectivore,c,1
Ixoreus_naevius,Varied Thrush,Frugivore,w,0
Junco_hyemalis,Dark-eyed Junco,Granivore,a,1
Lanius_borealis,Northern Shrike,Carnivore,a,1
Limnodromus_griseus,Short-billed Dowitcher,Insectivore,e,1
Limnodromus_scolopaceus,Long-billed Dowitcher,Insectivore,a,1
Limnothlypis_swainsonii,Swainson's Warbler,Insectivore,e,1
Limosa_fedoa,Marbled Godwit,Insectivore,a,1
Limosa_haemastica,Hudsonian Godwit,Insectivore,c,1
Lophodytes_cucullatus,Hooded Merganser,Omnivore,e,1
Mareca_americana,American Wigeon,Herbivore,a,1
Mareca_strepera,Gadwall,Herbivore,a,1
Megaceryle_alcyon,Belted Kingfisher,Piscivore,a,0
Melospiza_georgiana,Swamp Sparrow,Omnivore,e,1
Melospiza_lincolnii,Lincoln's Sparrow,Omnivore,a,1
Mniotilta_varia,Black-and-white Warbler,Insectivore,e,1
Molothrus_ater,Brown-headed Cowbird,Granivore,a,1
Myiarchus_cinerascens,Ash-throated Flycatcher,Insectivore,w,1
Myiarchus_crinitus,Great Crested Flycatcher,Insectivore,e,1
Numenius_americanus,Long-billed Curlew,Insectivore,w,1
Oreoscoptes_montanus,Sage Thrasher,Insectivore,w,1
Oreothlypis_celata,Orange-crowned Warbler,Insectivore,a,1
Oreothlypis_luciae,Lucy's Warbler,Insectivore,w,1
Oreothlypis_peregrina,Tennessee Warbler,Insectivore,e,1
Oreothlypis_ruficapilla,Nashville Warbler,Insectivore,e,1
Oreothlypis_virginiae,Virginia's Warbler,Insectivore,w,1
Oxyura_jamaicensis,Ruddy Duck,Insectivore,a,1
Pandion_haliaetus,Osprey,Piscivore,e,0
Parkesia_motacilla,Louisiana Waterthrush,Insectivore,e,1
Parkesia_noveboracensis,Northern Waterthrush,Insectivore,e,1
Passerculus_sandwichensis,Savannah Sparrow,Omnivore,a,1
Passerella_iliaca,Fox Sparrow,Omnivore,e,1
Passerina_amoena,Lazuli Bunting,Omnivore,w,1
Passerina_caerulea,Blue Grosbeak,Omnivore,a,1
Passerina_ciris,Painted Bunting,Granivore,c,1
Passerina_cyanea,Indigo Bunting,Granivore,e,1
Pelecanus_erythrorhynchos,American White Pelican,Piscivore,a,0
Petrochelidon_pyrrhonota,Cliff Swallow,Insectivore,a,1
Phalaenoptilus_nuttallii,Common Poorwill,Insectivore,w,1
Pheucticus_ludovicianus,Rose-breasted Grosbeak,Omnivore,e,1
Pheucticus_melanocephalus,Black-headed Grosbeak,Insectivore,w,1
Pipilo_chlorurus,Green-tailed Towhee,Omnivore,w,1
Pipilo_erythrophthalmus,Eastern Towhee,Omnivore,NA,NA
Piranga_ludoviciana,Western Tanager,Insectivore,w,1
Piranga_olivacea,Scarlet Tanager,Insectivore,e,1
Piranga_rubra,Summer Tanager,Insectivore,e,1
Plectrophenax_nivalis,Snow Bunting,Herbivore,e,1
Pluvialis_dominica,American Golden-Plover,Insectivore,e,1
Pluvialis_fulva,Pacific Golden-Plover,Insectivore,w,1
Polioptila_caerulea,Blue-gray Gnatcatcher,Insectivore,e,1
Pooecetes_gramineus,Vesper Sparrow,Omnivore,a,1
Porzana_carolina,Sora,Herbivore-Granivore,a,1
Progne_subis,Purple Martin,Insectivore,e,1
Protonotaria_citrea,Prothonotary Warbler,Insectivore,e,1
Quiscalus_quiscula,Common Grackle,Omnivore,e,1
Rallus_limicola,Virginia Rail,Omnivore,a,1
Recurvirostra_americana,American Avocet,Insectivore,w,1
Regulus_calendula,Ruby-crowned Kinglet,Insectivore,a,1
Regulus_satrapa,Golden-crowned Kinglet,Insectivore,e,1
Rhynchophanes_mccownii,McCown's Longspur,Granivore,w,1
Riparia_riparia,Bank Swallow,Insectivore,a,1
Sayornis_phoebe,Eastern Phoebe,Insectivore,e,1
Sayornis_saya,Say's Phoebe,Insectivore,w,1
Scolopax_minor,American Woodcock,Insectivore,e,1
Seiurus_aurocapilla,Ovenbird,Insectivore,e,1
Selasphorus_calliope,Calliope Hummingbird,Nectarivore,w,1
Selasphorus_platycercus,Broad-tailed Hummingbird,Nectarivore,w,1
Selasphorus_rufus,Rufous Hummingbird,Nectarivore,w,1
Selasphorus_sasin,Allen's Hummingbird,Nectarivore,w,1
Setophaga_americana,Northern Parula,Insectivore,e,1
Setophaga_caerulescens,Black-throated Blue Warbler,Insectivore,e,1
Setophaga_castanea,Bay-breasted Warbler,Insectivore,e,1
Setophaga_cerulea,Cerulean Warbler,Insectivore,e,1
Setophaga_citrina,Hooded Warbler,Insectivore,e,1
Setophaga_coronata,Yellow-rumped Warbler,Insectivore,a,1
