"","year","cell","cell_lat","cell_lng","gr_mn","gr_ncell"
"1",2001,43,87.6553497909317,-78.7500000256081,NA,NA
"2",2001,70,85.1626620244,-93.2834134895237,NA,NA
"3",2001,71,85.1626620248604,-64.2165865315607,NA,NA
"4",2001,98,82.9884517635243,-78.7500000064322,NA,NA
"5",2001,99,82.5700859451107,-59.6035163032071,NA,NA
"6",2001,125,80.5813782293863,-86.2162533813717,NA,NA
"7",2001,126,80.5813782295509,-71.2837466265145,NA,NA
"8",2001,127,79.945339667235,-57.3598043228568,NA,NA
"9",2001,152,78.0709653757994,-90.6325084548869,NA,NA
"10",2001,153,78.3446134924854,-78.7500000025324,NA,NA
"11",2001,154,78.070965375993,-66.8674915500242,NA,NA
"12",2001,155,77.2909941664479,-56.0830597562837,NA,NA
"13",2001,179,75.4880138836507,-93.4767719037383,NA,NA
"14",2001,180,75.9673366669934,-83.7961085202218,NA,NA
"15",2001,181,75.9673366670389,-73.703891482853,NA,NA
"16",2001,182,75.4880138837914,-64.0232280993393,NA,NA
"17",2001,183,74.5914634086358,-55.4149835380877,NA,NA
"18",2001,207,73.4808026835262,-87.3505881913185,NA,NA
"19",2001,208,73.7159597324473,-78.7500000008145,NA,NA
"20",2001,209,73.4808026835155,-70.1494118104519,NA,NA
"21",2001,210,72.8138829297658,-62.2602481350374,NA,NA
"22",2001,211,71.8129569290312,-55.5376669462217,NA,NA
"23",2001,234,70.821541970822,-89.5624241955871,NA,NA
"24",2001,235,71.3356621857491,-82.5621439764312,NA,NA
"25",2001,236,71.3356621856473,-74.9378560242372,NA,NA
"26",2001,237,70.8215419705171,-67.9375758053122,NA,NA
"27",2001,238,70.1311887079903,-60.2324633736706,NA,NA
"28",2001,239,69.1384297738286,-53.2768640473242,178.63,93
"29",2001,261,68.3312050790495,-92.8698165762407,NA,NA
"30",2001,262,68.8601719277353,-85.9294712036213,NA,NA
"31",2001,263,69.0948425529023,-78.7499999999825,199,3
"32",2001,264,68.86017192786,-71.5705287952083,183.53,17
"33",2001,265,68.3312050793645,-64.6301834221012,NA,NA
"34",2001,266,67.5278428634973,-58.0769024890559,NA,NA
"35",2001,267,66.4768087070411,-52.0068071319402,176.24,462
"36",2001,289,66.457161362018,-88.8099229233357,NA,NA
"37",2001,290,66.8608545929879,-82.2216308920934,NA,NA
"38",2001,291,66.8608545929958,-75.2783691064199,185.65,17
"39",2001,292,66.4571613623112,-68.6900770749684,NA,NA
"40",2001,293,65.8156701391754,-62.4396390668987,NA,NA
"41",2001,294,64.9357278350644,-56.5621358419703,NA,NA
"42",2001,295,63.8377907032949,-51.1031098313894,175.61,565
"43",2001,316,64.0336165596296,-91.1104567309753,NA,NA
"44",2001,317,64.562482167559,-85.1065520798439,NA,NA
"45",2001,318,65.0141907623418,-78.7499999989066,NA,NA
"46",2001,319,64.5624821677599,-72.3934479183159,NA,NA
"47",2001,320,64.0336165600764,-66.3895432668895,NA,NA
"48",2001,321,63.2969896017568,-60.704141464013,NA,NA
"49",2001,322,62.3515320618564,-55.3609850109858,NA,NA
"50",2001,323,61.2123660388583,-50.383073718321,175.35,357
"51",2001,343,61.5856238125913,-93.0362681726267,176.64,311
"52",2001,344,62.2141685429068,-87.5406366705444,NA,NA
"53",2001,345,62.7027508159004,-81.7586820511533,NA,NA
"54",2001,346,62.7027508158884,-75.7413179468576,NA,NA
"55",2001,347,62.2141685432899,-69.9593633272787,NA,NA
"56",2001,348,61.5856238131885,-64.4637318248659,NA,NA
"57",2001,349,60.7703034859685,-59.256654109347,NA,NA
"58",2001,350,59.7688858723931,-54.3554737471171,NA,NA
"59",2001,370,59.1146263285266,-94.6835316588552,161.69,98422
"60",2001,371,59.8257090562679,-89.6237171337181,NA,NA
"61",2001,372,60.3887889676514,-84.3146755905118,NA,NA
"62",2001,373,60.9283527781457,-78.7499999986217,NA,NA
"63",2001,374,60.3887889679164,-73.1853244072546,190,2
"64",2001,375,59.8257090568242,-67.8762828637895,180.35,17
"65",2001,376,59.1146263292714,-62.81646833831,176.37,182
"66",2001,377,58.2332234421998,-58.0156704679514,NA,NA
"67",2001,378,57.1834984345398,-53.486276300549,NA,NA
"68",2001,398,57.4037715279692,-91.4298757055894,161.4,203721
"69",2001,399,58.0397712927562,-86.5220707354714,NA,NA
"70",2001,400,58.5863747949629,-81.3960762544257,NA,NA
"71",2001,401,58.586374795043,-76.1039237432873,168.76,1517
"72",2001,402,58.0397712932394,-70.9779292620326,166.07,52930
"73",2001,403,57.4037715286915,-66.0701242916247,167.12,115591
"74",2001,404,56.6225544174719,-61.3844008644459,179.39,55586
"75",2001,405,55.6845133708624,-56.9307234943631,174.63,5359
"76",2001,406,54.5923946588377,-52.7177496083299,NA,NA
"77",2001,425,54.9528748686684,-93.0147941617569,154,480809
"78",2001,426,55.6555096482488,-88.4520940598478,156.09,390076
"79",2001,427,56.248367376611,-83.6966820893188,155.71,32604
"80",2001,428,56.8320827812714,-78.7499999983896,158.67,6196
"81",2001,429,56.2483673769838,-73.8033179081716,152.76,134527
"82",2001,430,55.6555096489261,-69.0479059373958,160.3,233058
"83",2001,431,54.9528748695508,-64.4852058351845,163.82,192783
"84",2001,432,54.1108365856333,-60.1221890197213,170.19,235307
"85",2001,433,53.1232773074566,-55.9672079754207,174.62,112514
"86",2001,452,52.4760271176201,-94.4209074806614,149.83,377730
"87",2001,453,53.2388714917337,-90.1576094194054,148.95,426643
"88",2001,454,53.8859907747712,-85.7210299417114,145.65,371633
"89",2001,455,54.4698108400178,-81.1155858259826,155.41,104650
